Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kids,2015-11-02 01:40:47,00:11:48,,The Colossus,,Chrome PC (Cadmium),00:12:13,00:12:13,BR (Brazil)
Kids,2015-11-02 01:28:23,00:12:11,,The Remote,,Chrome PC (Cadmium),00:12:11,00:12:11,BR (Brazil)
Kids,2015-11-01 01:15:39,01:45:03,,Rango,,Chrome PC (Cadmium),01:45:03,01:45:03,BR (Brazil)
Kids,2015-07-13 22:56:10,00:01:17,,Saúdem Todos o Rei Julien: Temporada 1: Viva eu (Episódio 1),,Google Chromecast streaming stick,00:01:17,00:01:17,BR (Brazil)
Kids,2015-07-13 22:55:23,00:00:17,,Saúdem Todos o Rei Julien: Temporada 1: Viva eu (Episódio 1),,Mobile,00:00:17,Not latest view,BR (Brazil)
fred&davi,2023-04-03 04:49:53,00:30:59,Autoplayed: user action: User_Interaction; ,Homens são de Marte e prá lá que eu vou,,LG DTV 2022 MTK LM21A UHD TV Smart TV,01:23:04,01:23:04,BR (Brazil)
fred&davi,2023-04-03 04:49:24,00:00:13,Autoplayed: user action: None; ,Através da Minha Janela,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:05:40,00:05:40,BR (Brazil)
fred&davi,2023-04-03 04:43:06,00:05:27,Autoplayed: user action: User_Interaction; ,Através da Minha Janela,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:05:28,Not latest view,BR (Brazil)
fred&davi,2023-04-03 01:24:50,00:05:04,,The Walking Dead: Temporada 3: Vida em luto (Episódio 15),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:32,00:42:32,BR (Brazil)
fred&davi,2023-04-03 00:44:44,00:37:45,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: Vida em luto (Episódio 15),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:37:28,Not latest view,BR (Brazil)
fred&davi,2023-04-03 00:02:44,00:41:57,,The Walking Dead: Temporada 3: Presa (Episódio 14),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:32,00:42:32,BR (Brazil)
fred&davi,2023-04-02 23:13:54,00:42:32,,The Walking Dead: Temporada 3: Flecha na porta (Episódio 13),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:30,00:42:30,BR (Brazil)
fred&davi,2023-04-02 20:57:00,00:00:08,Autoplayed: user action: None; ,The Walking Dead: Temporada 3: Flecha na porta (Episódio 13),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:00:10,Not latest view,BR (Brazil)
fred&davi,2023-04-02 20:14:38,00:42:17,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: Limpo (Episódio 12),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:31,00:42:31,BR (Brazil)
fred&davi,2023-04-02 19:32:01,00:42:32,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: Não sou Judas (Episódio 11),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:33,00:42:33,BR (Brazil)
fred&davi,2023-04-02 15:18:55,00:47:28,Autoplayed: user action: User_Interaction; ,Racionais: Das Ruas de São Paulo Pro Mundo,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:47:30,00:47:30,BR (Brazil)
fred&davi,2023-04-02 15:13:33,00:01:11,Autoplayed: user action: None; ,Teaser 2: Racionais: Das Ruas de São Paulo Pro Mundo,TEASER_TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:01:11,00:01:11,BR (Brazil)
fred&davi,2023-04-02 15:12:05,00:00:36,Autoplayed: user action: None; ,Teaser 2: Racionais: Das Ruas de São Paulo Pro Mundo,TEASER_TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:36,Not latest view,BR (Brazil)
fred&davi,2023-04-02 15:11:14,00:00:09,Autoplayed: user action: None; ,Teaser: Depois do Universo,TEASER_TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:09,00:00:09,BR (Brazil)
fred&davi,2023-04-02 15:09:49,00:00:32,Autoplayed: user action: None; ,Entergalactic (Clipe 17): Entergalactic,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:32,00:00:32,BR (Brazil)
fred&davi,2023-04-02 15:08:03,00:00:04,Autoplayed: user action: None; ,My Girl_hook_04_16x9,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
fred&davi,2023-04-02 15:06:17,00:00:58,Autoplayed: user action: None; ,Temporada 1 (Teaser 1): Wandinha,TEASER_TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:58,00:00:58,BR (Brazil)
fred&davi,2023-04-02 15:05:20,00:00:07,Autoplayed: user action: None; ,Whindersson Nunes: Isso não é um culto,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:55:41,00:55:41,BR (Brazil)
fred&davi,2023-04-02 15:05:12,00:00:01,Autoplayed: user action: None; ,A bela e a fera,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:04:45,00:04:45,BR (Brazil)
fred&davi,2023-04-02 15:05:02,00:00:01,Autoplayed: user action: None; ,Barbie Life in the Dreamhouse: Temporada 1: Cupcakes para dar e vender (Episódio 6),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:12:03,00:12:03,BR (Brazil)
fred&davi,2023-04-02 15:04:43,00:00:07,Autoplayed: user action: None; ,Ever After High: Deprimavera (trailer),TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:07,00:00:07,BR (Brazil)
fred&davi,2023-04-01 14:20:24,00:12:02,Autoplayed: user action: User_Interaction; ,Barbie Life in the Dreamhouse: Temporada 1: Cupcakes para dar e vender (Episódio 6),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:12:02,Not latest view,BR (Brazil)
fred&davi,2023-04-01 07:09:24,00:00:04,Autoplayed: user action: None; ,Barbie Life in the Dreamhouse: Temporada 1: Cupcakes para dar e vender (Episódio 6),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:18,Not latest view,BR (Brazil)
fred&davi,2023-04-01 06:47:03,00:22:19,,Barbie Life in the Dreamhouse: Temporada 1: Cabelo Kensacional! (Episódio 5),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:22:25,00:22:25,BR (Brazil)
fred&davi,2023-04-01 06:24:29,00:22:31,,"Barbie Life in the Dreamhouse: Temporada 1: Feliz Aniverário, Chelsea (Episódio 4)",,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:22:45,00:22:45,BR (Brazil)
fred&davi,2023-04-01 06:00:45,00:23:42,,Barbie Life in the Dreamhouse: Temporada 1: Gafe nos presentes (Episódio 3),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:23:55,00:23:55,BR (Brazil)
fred&davi,2023-04-01 05:37:40,00:23:02,,Barbie Life in the Dreamhouse: Temporada 1: O melhor de Dreamhouse (Episódio 2),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:23:08,00:23:08,BR (Brazil)
fred&davi,2023-04-01 05:35:00,00:02:36,Autoplayed: user action: User_Interaction; ,Barbie Life in the Dreamhouse: Temporada 1: Presa no armário (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:22:41,00:22:41,BR (Brazil)
fred&davi,2023-04-01 01:10:10,00:52:07,Autoplayed: user action: User_Interaction; ,Homens são de Marte e prá lá que eu vou,,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:52:07,Not latest view,BR (Brazil)
fred&davi,2023-04-01 01:08:18,00:01:03,Autoplayed: user action: None; ,Trailer: Pequenos Grandes Heróis,TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:01:03,00:01:03,BR (Brazil)
fred&davi,2023-04-01 01:07:51,00:00:05,Autoplayed: user action: None; ,Combinação Perfeita (Clipe): Combinação Perfeita,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:05,00:00:05,BR (Brazil)
fred&davi,2023-04-01 01:06:27,00:00:31,Autoplayed: user action: None; ,Pixels_hook_primary_16x9,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:31,00:00:31,BR (Brazil)
fred&davi,2023-04-01 01:05:52,00:00:28,Autoplayed: user action: None; ,Whindersson Nunes: Adulto (Trailer),TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:28,00:00:28,BR (Brazil)
fred&davi,2023-04-01 01:05:36,00:00:08,Autoplayed: user action: None; ,Mistério em Paris (Clipe): Mistério em Paris,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:08,00:00:08,BR (Brazil)
fred&davi,2023-04-01 00:32:35,00:00:47,Autoplayed: user action: None; ,Mistério em Paris (Clipe): Mistério em Paris,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:47,Not latest view,BR (Brazil)
fred&davi,2023-04-01 00:32:08,00:00:20,Autoplayed: user action: None; ,Temporada 4 (Teaser): Casamento às Cegas,TEASER_TRAILER,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:20,00:00:20,BR (Brazil)
fred&davi,2023-04-01 00:31:44,00:00:13,Autoplayed: user action: None; ,Minha Mãe é Uma Peça_hook_04_16x9,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:13,00:00:13,BR (Brazil)
fred&davi,2023-04-01 00:31:16,00:00:25,Autoplayed: user action: None; ,Temporada 4 (Clipe): Glow Up,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:25,00:00:25,BR (Brazil)
fred&davi,2023-04-01 00:30:00,00:00:40,Autoplayed: user action: None; ,INVISIBLECITY_S1_CLIP_INCITINGINCIDENT,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:40,00:00:40,BR (Brazil)
fred&davi,2023-04-01 00:29:46,00:00:04,Autoplayed: user action: None; ,Barbie Life in the Dreamhouse_hook_primary_16x9,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:04,00:00:04,BR (Brazil)
fred&davi,2023-03-31 00:33:44,00:00:08,Autoplayed: user action: None; ,Temporada 4 (Clipe 12): Glow Up,HOOK,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:00:08,00:00:08,BR (Brazil)
fred&davi,2023-03-30 16:04:35,00:16:54,Autoplayed: user action: User_Interaction; ,Barbie Life in the Dreamhouse: Temporada 1: Presa no armário (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:20:06,Not latest view,BR (Brazil)
fred&davi,2023-03-29 02:27:18,00:41:02,Autoplayed: user action: None; ,Ever After High: Bem-vindo a Ever After High: Festa da Coroação (Episódio 4),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:41:37,00:41:37,BR (Brazil)
fred&davi,2023-03-29 02:04:44,00:22:31,,Ever After High: Bem-vindo a Ever After High: Dia do coração sincero (Episódio 3),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:23:08,00:23:08,BR (Brazil)
fred&davi,2023-03-29 01:37:04,00:27:39,,Ever After High: Bem-vindo a Ever After High: Bem-vindos a Ever After (Episódio 2),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:28:00,00:28:00,BR (Brazil)
fred&davi,2023-03-29 01:14:44,00:22:18,Autoplayed: user action: User_Interaction; ,Ever After High: Bem-vindo a Ever After High: Dia do Legado (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:22:45,00:22:45,BR (Brazil)
fred&davi,2023-03-29 01:13:49,00:00:33,Autoplayed: user action: None; ,Temporada 2 (Clipe): Cuphead - A Série,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:33,00:00:33,BR (Brazil)
fred&davi,2023-03-29 01:13:04,00:00:04,Autoplayed: user action: None; ,"Cine Gibi: Temporada 1: Turma da Mônica: Cine Gibi 1, O Filme (Episódio 1)",,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:05,00:00:05,BR (Brazil)
fred&davi,2023-03-29 01:11:56,00:01:00,Autoplayed: user action: None; ,Temporada 1 (Clipe 3): Teletubbies,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:01:00,00:01:00,BR (Brazil)
fred&davi,2023-03-29 01:07:54,00:03:14,Autoplayed: user action: User_Interaction; ,Barbie Life in the Dreamhouse: Temporada 1: Presa no armário (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:03:14,Not latest view,BR (Brazil)
fred&davi,2023-03-29 01:07:06,00:00:06,Autoplayed: user action: None; ,Especiais temáticos da turma da Mônica: Temporada 1: Turma da Mônica - As doze badaladas dos sinos de Natal (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:07,00:00:07,BR (Brazil)
fred&davi,2023-03-28 05:26:12,02:02:27,,Cidade de Deus,,DefaultWidevineAndroidPhone,02:04:35,02:04:35,BR (Brazil)
fred&davi,2023-03-26 01:56:31,00:42:00,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: Lar (Episódio 10),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:31,00:42:31,BR (Brazil)
fred&davi,2023-03-26 01:09:07,00:42:01,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: O rei suicida (Episódio 9),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:33,00:42:33,BR (Brazil)
fred&davi,2023-03-26 00:27:02,00:42:02,,The Walking Dead: Temporada 3: Nascidos para sofrer (Episódio 8),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:34,00:42:34,BR (Brazil)
fred&davi,2023-03-25 23:20:22,00:41:58,,The Walking Dead: Temporada 3: Mortos batem à porta (Episódio 7),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:28,00:42:28,BR (Brazil)
fred&davi,2023-03-25 22:37:16,00:42:52,,The Walking Dead: Temporada 3: Atormentado (Episódio 6),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:30,00:42:30,BR (Brazil)
fred&davi,2023-03-25 22:11:54,00:03:15,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: Atormentado (Episódio 6),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:01:20,Not latest view,BR (Brazil)
fred&davi,2023-03-25 21:49:08,00:22:41,,The Walking Dead: Temporada 3: É só falar (Episódio 5),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:42:33,00:42:33,BR (Brazil)
fred&davi,2023-03-25 21:29:26,00:19:26,Autoplayed: user action: User_Interaction; ,The Walking Dead: Temporada 3: É só falar (Episódio 5),,"Samsung CE 2022 Kant-SU2e 
 Smart TV",00:19:55,Not latest view,BR (Brazil)
fred&davi,2023-03-24 04:38:27,00:02:59,,Cidade de Deus,,DefaultWidevineAndroidPhone,00:02:55,Not latest view,BR (Brazil)
fred&davi,2023-03-11 03:42:38,00:00:52,Autoplayed: user action: None; ,Temporada 3 (Clipe): Você,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:52,00:00:52,BR (Brazil)
fred&davi,2023-03-11 03:40:21,00:00:06,Autoplayed: user action: None; ,Temporada 3 (Clipe): Você,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:06,Not latest view,BR (Brazil)
fred&davi,2023-03-11 03:38:02,00:00:06,Autoplayed: user action: None; ,Temporada 3 (Clipe): Você,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:06,Not latest view,BR (Brazil)
fred&davi,2023-03-11 02:42:27,00:52:52,Autoplayed: user action: User_Interaction; ,Sex/Life: Temporada 2: Dia sublime (Episódio 6),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:52:57,00:52:57,BR (Brazil)
fred&davi,2023-03-11 02:37:42,00:04:42,Autoplayed: user action: User_Interaction; ,Sex/Life: Temporada 2: O futuro começa agora (Episódio 5),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:46:59,00:46:59,BR (Brazil)
fred&davi,2023-03-10 21:29:45,00:42:19,,Sex/Life: Temporada 2: O futuro começa agora (Episódio 5),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:42:22,Not latest view,BR (Brazil)
fred&davi,2023-03-10 20:44:15,00:45:25,Autoplayed: user action: User_Interaction; ,Sex/Life: Temporada 2: Minha fraqueza (Episódio 4),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:49:10,00:49:10,BR (Brazil)
fred&davi,2023-03-10 00:53:59,00:03:38,Autoplayed: user action: User_Interaction; ,Sex/Life: Temporada 2: Minha fraqueza (Episódio 4),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:03:46,Not latest view,BR (Brazil)
fred&davi,2023-03-10 00:01:08,00:45:10,Autoplayed: user action: User_Interaction; ,Sex/Life: Temporada 2: O amor está no ar (Episódio 3),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:45:10,00:45:10,BR (Brazil)
fred&davi,2023-03-10 00:00:53,00:00:07,Autoplayed: user action: None; ,Big Mouth: Season 5 - Baseline Clip 2,HOOK,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:07,00:00:07,BR (Brazil)
fred&davi,2023-03-09 06:18:17,00:20:18,,Sex/Life: Temporada 2: O amor está no ar (Episódio 3),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:20:21,Not latest view,BR (Brazil)
fred&davi,2023-03-09 05:30:05,00:48:10,,Sex/Life: Temporada 2: Traumas do passado (Episódio 2),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:48:14,00:48:14,BR (Brazil)
fred&davi,2023-03-09 04:40:52,00:49:09,,Sex/Life: Temporada 2: Bem-vinda a Nova York (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:49:09,00:49:09,BR (Brazil)
fred&davi,2023-03-09 04:38:14,00:02:35,,Temporada 1 (Resumo): Sex/Life,RECAP,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:02:35,00:02:35,BR (Brazil)
fred&davi,2023-03-09 04:37:53,00:00:01,Autoplayed: user action: None; ,Sex/Life: Temporada 1: As esposas estão em Connecticut (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:01,00:00:01,BR (Brazil)
fred&davi,2023-03-06 01:30:14,00:00:04,Autoplayed: user action: None; ,Big Mouth: Temporada 6: Vergonha vaginal (Episódio 3),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:00:09,00:00:09,BR (Brazil)
fred&davi,2023-03-06 01:04:14,00:25:59,,Big Mouth: Temporada 6: Vinte e dois e você (Episódio 2),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:26:04,00:26:04,BR (Brazil)
fred&davi,2023-03-06 00:38:25,00:25:45,,Big Mouth: Temporada 6: A casa do vuco-vuco (Episódio 1),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:25:50,00:25:50,BR (Brazil)
fred&davi,2023-03-06 00:10:50,00:27:34,,Big Mouth: Temporada 5: Feliz Ano Re-Novo (Episódio 10),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:27:38,00:27:38,BR (Brazil)
fred&davi,2023-03-05 23:45:11,00:25:32,Autoplayed: user action: User_Interaction; ,Big Mouth: Temporada 5: Sugarbush (Episódio 9),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:25:59,00:25:59,BR (Brazil)
fred&davi,2023-03-05 23:13:14,00:31:59,,Big Mouth: Temporada 5: Um Natal muito Big Mouth (Episódio 8),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:32:03,00:32:03,BR (Brazil)
fred&davi,2023-03-05 22:47:17,00:25:55,,Big Mouth: Temporada 5: Eu odeio vocês (Episódio 7),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:25:58,00:25:58,BR (Brazil)
fred&davi,2023-03-05 22:21:06,00:26:09,,Big Mouth: Temporada 5: Melhores amigas são as melhores amantes (Episódio 6),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:26:13,00:26:13,BR (Brazil)
fred&davi,2023-03-05 22:04:57,00:16:06,,Big Mouth: Temporada 5: Ação de Graças (Episódio 5),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:26:15,00:26:15,BR (Brazil)
fred&davi,2023-03-05 20:17:43,00:10:08,,Big Mouth: Temporada 5: Ação de Graças (Episódio 5),,LG DTV 2022 MTK LM21A UHD TV Smart TV,00:10:12,Not latest view,BR (Brazil)
